,Event name,Event date,Country,City,Address,Website,IATA,distances
5,PARTENZA,2024-06-25,Italy,Roma,Roma Fiumicino Italy,https://www.songkick.com/concerts/41956852-nanowar-of-steel-at-alte-feuerwache?utm_source=60345&utm_medium=partner,"['SCN', 'SXB', 'LUX']","[103, 123, 163]"
5,TRAVEL DAY,2024-06-26,Germany,Munich,Munich,https://www.songkick.com/concerts/41956852-nanowar-of-steel-at-alte-feuerwache?utm_source=60345&utm_medium=partner,"['SCN', 'SXB', 'LUX']","[103, 123, 163]"
6,Basinfire fest 2024,2024-06-27, Czech Republic,Spalene Porici,Pilsen,https://www.songkick.com/festivals/1027133-basinfire-fest/id/41823106-basinfire-fest-2024?utm_source=60345&utm_medium=partner,"['EBB', 'BOJ', 'OUA']","[0, 0, 0]"
7,Lowland Fest 2024,2024-06-28, Hungary,Hódmezővásárhely,Szeged,https://www.songkick.com/festivals/3409902-lowland-fest/id/41595416-lowland-fest-2024?utm_source=60345&utm_medium=partner,"['TSR', 'OMR', 'DEB']","[103, 137, 153]"
8,Festival Rock Pod Kameňom 2024,2024-06-29, Slovakia,Snina,Snina,https://www.songkick.com/festivals/664519-rock-pod-kamenom/id/41642406-festival-rock-pod-kameom-2024?utm_source=60345&utm_medium=partner,"['KSC', 'TAT', 'LWO']","[75, 139, 159]"
8,TRAVEL DAY,2024-06-30,Austria,Vienna,Vienna,https://www.songkick.com/festivals/664519-rock-pod-kamenom/id/41642406-festival-rock-pod-kameom-2024?utm_source=60345&utm_medium=partner,"['KSC', 'TAT', 'LWO']","[75, 139, 159]"
8,TRAVEL DAY,2024-06-30,Germany,Saarbrucken,Saarbrucken,https://www.songkick.com/festivals/664519-rock-pod-kamenom/id/41642406-festival-rock-pod-kameom-2024?utm_source=60345&utm_medium=partner,"['KSC', 'TAT', 'LWO']","[75, 139, 159]"
9,Nanowar Of Steel at Garage Saarbrücken ,2024-07-02, Germany,Saarbrücken,Saarbrücken,https://www.songkick.com/concerts/41956855-nanowar-of-steel-at-garage-saarbrucken?utm_source=60345&utm_medium=partner,"['SCN', 'ETZ', 'LUX']","[8, 61, 71]"
10,Nanowar Of Steel at Batschkapp ,2024-07-03, Germany,Frankfurt,Frankfurt,https://www.songkick.com/concerts/41956864-nanowar-of-steel-at-batschkapp?utm_source=60345&utm_medium=partner,"['SCN', 'PAD', 'DTM']","[155, 164, 172]"
11,Rock Harz 2024,2024-07-05, Germany,Ballenstedt,Harz,https://www.songkick.com/festivals/1357634-rock-harz/id/41375991-rock-harz-2024?utm_source=60345&utm_medium=partner,"['LEJ', 'BWE', 'ERF']","[76, 81, 84]"
12,Nanowar Of Steel at Sommer am Kiez ,2024-07-06, Germany,Augsburg,Augsburg,https://www.songkick.com/concerts/41956872-nanowar-of-steel-at-sommer-am-kiez?utm_source=60345&utm_medium=partner,"['FMM', 'MUC', 'NUE']","[64, 67, 125]"
13,Nanowar Of Steel at LKA Longhorn ,2024-07-07, Germany,Stuttgart,Stuttgart,https://www.songkick.com/concerts/41956873-nanowar-of-steel-at-lka-longhorn?utm_source=60345&utm_medium=partner,"['FMM', 'SXB', 'NUE']","[113, 122, 155]"
